id;title;prix;author;date_pub
1;hebdomadaire pschitt fonctionnaire;28602.54;ouin;2025-11-05
2;camper;23688.6;pis dorénavant commenter;2025-11-05
3;aigre;7340.9;sur large aux alentours de;2025-11-06
4;tellement autour;24118.98;diplomate puis chef de cuisine;2025-11-06
5;apaiser groin groin coac coac;31931.28;personnel prévoir;2025-11-05
6;vouh tranquille fonctionnaire;9407.52;sale de sorte que;2025-11-06
7;sauf;28494.4;dehors ha ha bzzz;2025-11-06
8;terne responsable;22924.84;hebdomadaire multiple incalculable;2025-11-06
9;atchoum tsoin-tsoin altruiste;11231.23;enlever jadis ouch;2025-11-06
10;orange dynamique;21604.49;en face de près de trop;2025-11-06
